,subj_id,obj_id,class,conf,subj_centerx,subj_centery,subj_depth,obj_centerx,obj_centery,obj_depth,file
37, book, shelf,ON,0.06240510195493698,163.6019287109375, 691.2948303222656,0,35.810535311698914, 674.5307922363281,0,data/test_images/color_test.png
38, shelf, shelf,ON,0.04833989590406418,366.426513671875, 623.5203552246094,1823,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
39, pillow, bed,ON,0.04808364436030388,321.56116485595703, 778.82421875,0,524.7235107421875, 934.8022766113281,1404,data/test_images/color_test.png
40, shelf, book,HAS,0.04342220723628998,526.6397838592529, 677.4459075927734,1596,974.9020385742188, 686.3175048828125,1908,data/test_images/color_test.png
41, pole, room,IN,0.0430278480052948,1203.793701171875, 539.0391845703125,882,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
42, light, building,ON,0.04263865202665329,372.41590881347656, 68.31492245197296,0,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
43, shelf, room,IN,0.04206239804625511,526.6397838592529, 677.4459075927734,1596,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
44, shelf, shelf,ON,0.03901667892932892,363.7660217285156, 655.4834899902344,1766,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
45, shelf, shelf,ON,0.03499434143304825,565.9457092285156, 620.1885986328125,1697,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
46, paper, pole,ON,0.033085986971855164,1017.8794860839844, 677.0256958007812,1767,1203.793701171875, 539.0391845703125,882,data/test_images/color_test.png
47, pillow, shelf,ON,0.0326121523976326,937.2637329101562, 414.7267608642578,2019,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
48, paper, board,ON,0.03207883983850479,1017.8794860839844, 677.0256958007812,1767,1203.9140014648438, 543.0427923202515,882,data/test_images/color_test.png
49, shelf, book,HAS,0.03198278322815895,526.6397838592529, 677.4459075927734,1596,949.2057800292969, 582.4935302734375,1768,data/test_images/color_test.png
50, book, shelf,ON,0.03139792010188103,554.6773681640625, 648.3555603027344,1699,558.771728515625, 653.7824096679688,1700,data/test_images/color_test.png
51, shelf, shelf,ON,0.031252358108758926,175.898193359375, 668.97119140625,0,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
52, shelf, shelf,ON,0.03051224909722805,564.2195281982422, 722.0908203125,2041,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
53, shelf, shelf,ON,0.02841143310070038,942.3191223144531, 676.4291687011719,1887,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
54, shelf, shelf,ON,0.027744736522436142,757.7980041503906, 611.2727661132812,1187,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
55, light, room,IN,0.02742205187678337,372.41590881347656, 68.31492245197296,0,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
56, table, room,IN,0.02724546566605568,1637.5536499023438, 933.4653625488281,0,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
57, board, room,IN,0.02626698464155197,1203.9140014648438, 543.0427923202515,882,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
58, shelf, book,HAS,0.024993427097797394,526.6397838592529, 677.4459075927734,1596,208.59980010986328, 701.6477661132812,0,data/test_images/color_test.png
59, box, room,IN,0.024855105206370354,207.6097183227539, 492.17518615722656,0,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
60, shelf, book,HAS,0.024552244693040848,526.6397838592529, 677.4459075927734,1596,127.23195266723633, 683.8625183105469,0,data/test_images/color_test.png
61, shelf, shelf,ON,0.02440725825726986,755.8904724121094, 720.04736328125,2006,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
62, shelf, room,IN,0.02332642488181591,942.3191223144531, 676.4291687011719,1887,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
63, pillow, shelf,ON,0.023288067430257797,321.56116485595703, 778.82421875,0,175.898193359375, 668.97119140625,0,data/test_images/color_test.png
64, box, building,ON,0.023010237142443657,207.6097183227539, 492.17518615722656,0,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
65, shelf, room,IN,0.020062776282429695,175.898193359375, 668.97119140625,0,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
66, shelf, building,ON,0.018323644995689392,942.3191223144531, 676.4291687011719,1887,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
67, shelf, room,IN,0.018179165199398994,755.8904724121094, 720.04736328125,2006,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
68, shelf, room,IN,0.017956269904971123,1610.031005859375, 549.3067016601562,1430,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
69, shelf, room,IN,0.017470708116889,564.2195281982422, 722.0908203125,2041,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
