s_id,Xs,Ys,Zs,o_id,Xo,Yo,Zo
 basket,-0.0, 0.0, 0, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,483.631362915039, -64.52217800815879, 690, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-34.75397520065285, -269.72886258556315, 1887, book,-19.879355112711796, -78.71424995252968, 1768

 shelf,-720.4613593339919, -229.83331883505087, 1596, book,-57.15657742818196, -303.87697764169525, 1780

 shelf,-0.0, -0.0, 0, building,-853.5643925348917, 26.173834843834733, 1937

 shelf,-250.01434278488156, -88.6385455371045, 1187, building,-853.5643925348917, 26.173834843834733, 1937

 book,-0.0, -0.0, 0, bed,-636.5918655395507, -580.7577902704435, 1404

 building,-853.5643925348917, 26.173834843834733, 1937, room,-1.8027587890624999, 1.8130173892202426, 1801

 basket,-0.0, 0.0, 0, building,-853.5643925348917, 26.173834843834733, 1937

 shelf,-696.5730535825093, -142.57479445929104, 1697, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-991.4482488632201, 60.864047978070225, 1922, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-25.19255409240743, -127.02142225411384, 1753, book,-19.879355112711796, -78.71424995252968, 1768

 shelf,-1127.1713183085121, -159.52446229190204, 1823, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-25.19255409240743, -127.02142225411384, 1753, building,-853.5643925348917, 26.173834843834733, 1937

 paper,106.53442907333373, -253.6803647957368, 1767, shelf,-34.75397520065285, -269.72886258556315, 1887

 shelf,-250.01434278488156, -88.6385455371045, 1187, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-696.5730535825093, -142.57479445929104, 1697, book,-717.3366161346435, -192.88251893960225, 1699

 shelf,-1096.8220891952512, -213.67754598334398, 1766, building,-853.5643925348917, 26.173834843834733, 1937

