#,subj_id,obj_id,class,conf,subj_coordinates,obj_coordinates,subj_center,obj_center,Distance,file
10,lamp,table,ON,0.006666962057352066,"(-0.0, 0.0, 0)","(-957.3509716987609, -530.7945017176382, 1550)","(414.5843563079834, 463.7507801055908)","[75.39974975585938, 670.3486328125, 658.7203369140625, 1063.3482666015625]",1897.5678343780592,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
11,man,room,IN,0.006626495160162449,"(-1396.316391913096, -469.03744115344733, 2822)","(5.551052868366241, -13.56731534860142, 6140)","(484.99513244628906, 698.6361694335938)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",3630.6761585466124,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
12,table,room,IN,0.006011264398694038,"(0.0, -0.0, 0)","(5.551052868366241, -13.56731534860142, 6140)","(1737.9556274414062, 918.2864074707031)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",6140.017498854031,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
13,table,room,IN,0.005792823154479265,"(0.0, -0.0, 0)","(5.551052868366241, -13.56731534860142, 6140)","(1457.4949951171875, 715.9396057128906)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",6140.017498854031,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
14,desk,room,IN,0.005515123251825571,"(-574.1463528951008, -483.6039425553143, 1724)","(5.551052868366241, -13.56731534860142, 6140)","(640.2897338867188, 807.7344665527344)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",4478.62026891818,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
15,man,table,AT,0.005296400748193264,"(-1396.316391913096, -469.03744115344733, 2822)","(-835.9769894679387, -563.6954735526145, 1475)","(484.99513244628906, 698.6361694335938)","[207.7923126220703, 799.4327392578125, 624.0206909179688, 1010.082275390625]",1461.9676429491446,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
16,screen,desk,ON,0.005065033212304115,"(0.0, -0.0, 0)","(0.0, -0.0, 0)","(1129.6180419921875, 627.8833923339844)","[912.391845703125, 644.7049560546875, 1522.8155517578125, 1078.078369140625]",0.0,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
17,table,room,IN,0.005027365405112505,"(117.4149225870768, -85.91272017153494, 272)","(5.551052868366241, -13.56731534860142, 6140)","(1374.4056091308594, 841.4673461914062)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",5869.512022557535,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
18,railing,room,IN,0.005015608388930559,"(0.0, -0.0, 0)","(5.551052868366241, -13.56731534860142, 6140)","(1515.061279296875, 558.3158721923828)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",6140.017498854031,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
19,man,chair,SITTING_ON,0.004641298670321703,"(-1396.316391913096, -469.03744115344733, 2822)","(-655.0176834106445, -488.5864032386675, 1547)","(484.99513244628906, 698.6361694335938)","[493.81005859375, 798.9593505859375, 613.23974609375, 883.9232788085938]",1474.9681139421325,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
